"Tipo";"Código";"Asignatura/Nivel";"Módulo";"Horario";"Sala";"Docente";"Vacantes"
"Electivo";"EEF053";"ACONDICIONAMIENTO FÍSICO";"2";"15:40 - 16:40";"Sala de Musculación Gim. Andres Bello";"Sebastián Novoa";"2"
"Electivo";"EEF132";"BÁSQUETBOL FEMENINO";"1";"14:30 - 16:40 / 14:30 - 15:30";"Cancha 1, Gimnasio Olímpico";"Fabian Higuera";"5"
"Electivo";"DFI042";"CINE, GÉNERO Y DIVERSIDADES";"1";"14:30 - 16:40";"DITFO 106";"Paulina Soto";"1"
"Electivo";"DFI300";"CIUDADANÍA Y RELACIONES INTERCULTURALES";"1";"18:00 - 20:10";"DITFO 204";"Francisco Venegas";"1"
"Electivo";"ECS604";"CIUDADANÍAS UNIVERSITARIAS: CIENCIAS Y CULTURAS EN EL SIGLO XXI";"1";"12:00 - 13:00 / 10:50 - 13:00";"D-102 / D-105";"Luis Iván Inostroza";"1"
"Electivo";"DTF006";"DIBUJANDO EL TERRITORIO";"3";"14:30 - 16:40";"DITFO 104";"Diego Segura";"1"
"Electivo";"ELL776";"DIVERSIDAD SOCIOCULTURAL Y COMUNICACIÓN";"1";"8:30 - 10:40";"Sala Seminario Biblioteca";"Paloma Carvajal";"1"
"Electivo";"DTF013";"EL ROL DE LA MÚSICA EN LOS MOVIMIENTOS SOCIALES";"1";"14:30 - 16:50";"DITFO 204";"Miguel Aravena";"1"
"Electivo";"EEF082";"EXPRESIÓN DEL RITMO Y BAILE MODERNO";"1";"14:30 - 16:40 / 16:50 - 17:50";"Sala Multipropósito G.O";"Nicole Troncoso";"9"
"Electivo";"EEF082";"EXPRESIÓN DEL RITMO Y BAILE MODERNO";"2";"14:30 - 16:40 / 16:50 - 17:50";"Sala Multipropósito G.O";"Nicole Troncoso";"17"
"Electivo";"EEF082";"EXPRESIÓN DEL RITMO Y BAILE MODERNO";"3";"16:50 - 17:50 / 14:30 - 16:40";"Sala Multipropósito G.O";"Nicole Troncoso";"22"
"Electivo";"EEF123";"FÚTBOL FEMENINO";"1";"12:00 - 13:00 / 8:30 - 9:30";"Cancha Fútbol 2";"Ignacio Álvarez";"9"
"Electivo";"EEF050";"FUTSAL";"1";"10:50 - 11:50 / 8:30 - 9:30";"Cancha 1, Gimnasio Olímpico";"José Salazar";"2"
"Electivo";"EEF056";"HANDBOL";"1";"8:30 - 10:40 / 8:30 - 9:30";"Cancha 1, Gimnasio Olímpico";"Ricardo Molina";"5"
"Electivo";"RUP082";"IDENTIDAD MAPUCHE Y ENTORNOS DIGITALES CONTEMPORÁNEOS";"1";"10:50 - 13:00";"Auditorio DITFO";"Karina Polanco";"9"
"Electivo";"ELL019";"INTRODUCCION A LA CULTURA CINEMATOGRAFICA";"1";"9:40 - 13:00";"Auditorio DITFO";"Bruno Toro";"1"
"Electivo";"VAE036";"INTRODUCCIÓN A LA DANZA";"1";"9:40 - 13:00";"Sala Danza Prat";"María Elena Maire";"4"
"Electivo";"ELL587";"LENGUA Y CULTURA MAPUCHE";"2";"14:30 - 17:50";"Sala Seminario Biblioteca";"Héctor Painequeo";"3"
"Electivo";"DTF009";"MI VIDA EN HISTORIETA";"2";"10:50 - 13:00";"DITFO 104";"Diego Segura";"1"
"Electivo";"EEF022";"MUSCULACIÓN Y PREPARACIÓN FÍSICA 2";"1";"9:40 - 10:40";"Sala de Musculación Gim. Andres Bello";"Claudia Vargas";"1"
"Electivo";"DTF018";"NARRATIVA BREVE FANTÁSTICA LATINOAMERICANA";"1";"8:30 - 10:40";"DITFO 106";"Javiera Ibaceta";"2"
"Electivo";"DTF018";"NARRATIVA BREVE FANTÁSTICA LATINOAMERICANA";"3";"8:30 - 10:40";"DITFO 204";"Javiera Ibaceta";"2"
"Electivo";"DTF007";"ORATORIA: EXPRESA Y CONECTA";"2";"10:50 - 13:00";"DITFO 204";"Javiera Ibaceta";"1"
"Electivo";"DTF007";"ORATORIA: EXPRESA Y CONECTA";"4";"14:30 - 16:40";"DITFO 203";"Javiera Ibaceta";"1"
"Electivo";"DFI310";"RELACIONES CHILENO-MAPUCHE EN EL WALLMAPU";"1";"14:30 - 16:40";"Sala Instituto de Estudios Indígenas";"Miguel Melin";"6"
"Electivo";"MSP115";"RELACIONES INTERCULTURALES EN SALUD EN LA ARAUCANÍA";"1";"8.30 - 11:50";"SA 111 (Fac. Medicina)";"Ricardo Cuyul";"18"
"Electivo";"MSP504";"SALUD MENTAL: PERSPECTIVAS HISTÓRICAS Y DESAFÍOS ACTUALES";"1";"10:50 - 13:00";"SA 208 (Fac. Medicina)";"César Leyton";"2"
"Electivo";"MSP003";"SALUD, SOCIEDAD Y TERRITORIO";"1";"9:40 - 13:00";"DITFO 104";"Jossiana Robinovich";"1"
"Electivo";"EEF076";"SEGURIDAD EN EL MEDIO ACUÁTICO CON LA NATACIÓN";"1";"12:00 - 13:00 / 8:30 - 9:30";"Piscina";"Claudio Muñoz";"4"
"Electivo";"EEF076";"SEGURIDAD EN EL MEDIO ACUÁTICO CON LA NATACIÓN";"3";"10:50 - 11:50 / 9:40 - 10:40";"Piscina";"Claudio Muñoz";"14"
"Electivo";"DFI140";"TALLER DE EMPRENDIMIENTO";"1";"18:00 - 20:10";"DITFO 203";"Rolando Saavedra";"1"
"Electivo";"EEF129";"VOLEIBOL DAMAS";"1";"14:30 - 16:40 / 16:50 - 17:50";"Cancha 1, Gimnasio Olímpico";"Javiera Parada";"4"
"Electivo";"EEF129";"VOLEIBOL DAMAS";"2";"16:50 - 17:50 / 8:30 - 10:40";"Cancha 1, Gimnasio Olímpico";"Javiera Parada";"10"
